Feature
0
32.0
10.0
30.0
11.0
12.0
30.0
84.0
104.0
37.0
55.0
63.0
63.0
25.0
6.0
29.0
23.0
23.0
20.0
39.0
100.0
55.0
55.0
10.0
30.0
10.0
10.0
35.0
100.0
60.0
35.0
35.0
185.0
90.0
10.0
150.0
50.0
170.0
200.0
10.0
10.0
190.0
121.0
299.0
50.0
340.0
10.0
150.0
175.0
168.0
168.0
159.0
400.0
130.0
150.0
630.0
310.0
50.0
160.0
190.0
70.0
340.0
190.0
29.0
414.0
45.0
35.0
9.0
11.0
45.0
100.0
150.0
50.0
110.0
140.0
45.0
10.0
7.0
8.0
5.0
55.0
90.0
90.0
40.0
120.0
130.0
20.0
200.0
90.0
70.0
20.0
200.0
13.0
5.0
8.0
14.0
10.0
10.0
70.0
40.0
21.0
59.0
